Character,Points,Rank,Index,Episode
Myranda,681,1.0,581,4
Missandei,445,2.0,345,4
Stannis Baratheon,267,3.0,167,4
Daenerys Targaryen,250,4.0,150,4
Roose Bolton,219,5.0,119,4
Jorah Mormont,200,6.0,100,4
Hizdahr zo Loraq,194,7.0,94,4
Jon Snow,174,8.0,74,4
Tormund Giantsbane,173,9.0,73,4
Samwell Tarly,111,10.0,11,4
Brienne of Tarth,104,11.0,4,4
Sansa Stark,67,12.0,-49,4
Ramsay Bolton,58,13.0,-72,4
Davos Seaworth,58,13.0,-72,4
Theon Greyjoy,56,15.0,-78,4
Tyrion Lannister,51,16.0,-96,4
Shireen Baratheon,24,17.0,-316,4
Walda Bolton,24,17.0,-316,4
Daario Naharis,17,19.0,-488,4
Grey Worm,16,20.0,-525,4
Melisandre,10,21.0,-900,4
The High Sparrow,10,21.0,-900,4
Alliser Thorne,0,23.0,0,4
Areo Hotah,0,23.0,0,4
Arya Stark,0,23.0,0,4
Barristan Selmy,0,23.0,0,4
Bowen Marsh,0,23.0,0,4
Cersei Lannister,0,23.0,0,4
Denys Mallister,0,23.0,0,4
Doran Martell,0,23.0,0,4
Eddison Tollett,0,23.0,0,4
Ellaria Sand,0,23.0,0,4
Gilly,0,23.0,0,4
Gregor Clegane,0,23.0,0,4
Jaime Lannister,0,23.0,0,4
Janos Slynt,0,23.0,0,4
Jaqen Hghar,0,23.0,0,4
Kevan Lannister,0,23.0,0,4
Keyr,0,23.0,0,4
Lancel Lannister,0,23.0,0,4
Lhara,0,23.0,0,4
Loboda,0,23.0,0,4
Loras Tyrell,0,23.0,0,4
Lord of Bones,0,23.0,0,4
Mace Tyrell,0,23.0,0,4
Maggy the Frog,0,23.0,0,4
Malko,0,23.0,0,4
Mance Rayder,0,23.0,0,4
Margaery Tyrell,0,23.0,0,4
Meryn Trant,0,23.0,0,4
Myrcella Baratheon,0,23.0,0,4
Nymeria Sand,0,23.0,0,4
Obara Sand,0,23.0,0,4
Olenna Tyrell,0,23.0,0,4
Olly,0,23.0,0,4
Petyr Baelish,0,23.0,0,4
Pit Announcer,0,23.0,0,4
Podrick Payne,0,23.0,0,4
Pycelle,0,23.0,0,4
Qyburn,0,23.0,0,4
Robin Arryn,0,23.0,0,4
Selyse Baratheon,0,23.0,0,4
Septa Unella,0,23.0,0,4
Ser Bronn,0,23.0,0,4
Ternesio Terys,0,23.0,0,4
Tommen Baratheon,0,23.0,0,4
Trystane Martell,0,23.0,0,4
Tycho Nestoris,0,23.0,0,4
Tyene Sand,0,23.0,0,4
Varys,0,23.0,0,4
White Walkers Master,0,23.0,0,4
Yezzan,0,23.0,0,4
Yohn Royce,0,23.0,0,4
