Character,Points,Rank,Episode
Varys,592.0,1.0,0
Mance Rayder,408.0,2.0,0
Jon Snow,328.0,3.0,0
Margaery Tyrell,248.0,4.0,0
Daario Naharis,184.0,5.0,0
Stannis Baratheon,176.0,6.0,0
Melisandre,160.0,7.0,0
Tyrion Lannister,160.0,7.0,0
Cersei Lannister,128.0,9.0,0
Podrick Payne,104.0,10.0,0
Daenerys Targaryen,104.0,10.0,0
Robin Arryn,88.0,12.0,0
Petyr Baelish,88.0,12.0,0
Maggy the Frog,72.0,14.0,0
Lancel Lannister,72.0,14.0,0
Loras Tyrell,48.0,16.0,0
Sansa Stark,48.0,16.0,0
Grey Worm,48.0,16.0,0
Yohn Royce,48.0,16.0,0
Brienne of Tarth,40.0,20.0,0
The High Sparrow,32.0,21.0,0
Jaime Lannister,24.0,22.0,0
Shireen Baratheon,16.0,23.0,0
Davos Seaworth,8.0,24.0,0
Roose Bolton,0.0,25.0,0
Lhara,0.0,25.0,0
Walda Bolton,0.0,25.0,0
Myranda,0.0,25.0,0
Septa Unella,0.0,25.0,0
Bowen Marsh,0.0,25.0,0
Ternesio Terys,0.0,25.0,0
Mace Tyrell,0.0,25.0,0
Selyse Baratheon,0.0,25.0,0
Barristan Selmy,0.0,25.0,0
Janos Slynt,0.0,25.0,0
Denys Mallister,0.0,25.0,0
Eddison Tollett,0.0,25.0,0
Loboda,0.0,25.0,0
Pit Announcer,0.0,25.0,0
Malko,0.0,25.0,0
Keyr,0.0,25.0,0
White Walkers Master,0.0,25.0,0
Hizdahr zo Loraq,0.0,25.0,0
Meryn Trant,0.0,25.0,0
Tommen Baratheon,0.0,25.0,0
Tormund Giantsbane,0.0,25.0,0
Gilly,0.0,25.0,0
Gregor Clegane,0.0,25.0,0
Lord of Bones,0.0,25.0,0
Ramsay Bolton,0.0,25.0,0
Myrcella Baratheon,0.0,25.0,0
Nymeria Sand,0.0,25.0,0
Jaqen Hghar,0.0,25.0,0
Arya Stark,0.0,25.0,0
Theon Greyjoy,0.0,25.0,0
Olenna Tyrell,0.0,25.0,0
Areo Hotah,0.0,25.0,0
Pycelle,0.0,25.0,0
Kevan Lannister,0.0,25.0,0
Ser Bronn,0.0,25.0,0
Olly,0.0,25.0,0
Jorah Mormont,0.0,25.0,0
Tycho Nestoris,0.0,25.0,0
Ellaria Sand,0.0,25.0,0
Samwell Tarly,0.0,25.0,0
Trystane Martell,0.0,25.0,0
Tyene Sand,0.0,25.0,0
Alliser Thorne,0.0,25.0,0
Doran Martell,0.0,25.0,0
Obara Sand,0.0,25.0,0
Missandei,0.0,25.0,0
Yezzan,0.0,25.0,0
Qyburn,0.0,25.0,0
