Episode,Player,Award,Points,Character
3,Dan,Wit,32,Ser Bronn
3,Dan,Wit,16,Tyrion Lannister
3,Dan,Wit,8,Cersei Lannister
3,Dan,Jockey,32,Cersei Lannister
3,Dan,Jockey,16,Petyr Baelish
3,Dan,Jockey,8,Ellaria Sand
3,Dan,Bloodshed,32,Barristan Selmy
3,Dan,Bloodshed,16,Obara Sand
3,Dan,Bloodshed,8,Grey Worm
3,Dan,Style,32,Tyene Sand
3,Dan,Style,16,Lancel Lannister
3,Dan,Style,8,Nymeria Sand
3,Dan,Support,32,Barristan Selmy
3,Dan,Support,16,Ser Bronn
3,Dan,Support,8,Lancel Lannister
3,Hayley,Wit,32,Melisandre
3,Hayley,Wit,16,The High Sparrow
3,Hayley,Wit,8,Cersei Lannister
3,Hayley,Jockey,32,Cersei Lannister
3,Hayley,Jockey,16,Petyr Baelish
3,Hayley,Jockey,8,Ellaria Sand
3,Hayley,Bloodshed,32,Obara Sand
3,Hayley,Bloodshed,16,Barristan Selmy
3,Hayley,Bloodshed,8,Lancel Lannister
3,Hayley,Style,32,Melisandre
3,Hayley,Style,16,Lancel Lannister
3,Hayley,Style,8,Tyene Sand
3,Hayley,Support,32,Barristan Selmy
3,Hayley,Support,16,Obara Sand
3,Hayley,Support,8,Jaime Lannister
3,Jannerah Silverscale,Wit,32,Ser Bronn
3,Jannerah Silverscale,Wit,16,Melisandre
3,Jannerah Silverscale,Wit,8,
3,Jannerah Silverscale,Jockey,32,Cersei Lannister
3,Jannerah Silverscale,Jockey,16,Ellaria Sand
3,Jannerah Silverscale,Jockey,8,
3,Jannerah Silverscale,Bloodshed,32,Grey Worm
3,Jannerah Silverscale,Bloodshed,16,Barristan Selmy
3,Jannerah Silverscale,Bloodshed,8,
3,Jannerah Silverscale,Style,32,Nymeria Sand
3,Jannerah Silverscale,Style,16,Margaery Tyrell
3,Jannerah Silverscale,Style,8,
3,Jannerah Silverscale,Support,32,Barristan Selmy
3,Jannerah Silverscale,Support,16,Ser Bronn
3,Jannerah Silverscale,Support,8,Samwell Tarly
3,Ivarius Ironsight,Wit,32,Tyrion Lannister
3,Ivarius Ironsight,Wit,16,Ser Bronn
3,Ivarius Ironsight,Wit,8,Melisandre
3,Ivarius Ironsight,Jockey,32,Cersei Lannister
3,Ivarius Ironsight,Jockey,16,Petyr Baelish
3,Ivarius Ironsight,Jockey,8,Ellaria Sand
3,Ivarius Ironsight,Bloodshed,32,Barristan Selmy
3,Ivarius Ironsight,Bloodshed,16,Ser Bronn
3,Ivarius Ironsight,Bloodshed,8,
3,Ivarius Ironsight,Style,32,Sansa Stark
3,Ivarius Ironsight,Style,16,Margaery Tyrell
3,Ivarius Ironsight,Style,8,
3,Ivarius Ironsight,Support,32,Melisandre
3,Ivarius Ironsight,Support,16,Jorah Mormont
3,Ivarius Ironsight,Support,8,Barristan Selmy
3,Rob o Bones,Wit,32,Ser Bronn
3,Rob o Bones,Wit,16,Cersei Lannister
3,Rob o Bones,Wit,8,
3,Rob o Bones,Jockey,32,Cersei Lannister
3,Rob o Bones,Jockey,16,Margaery Tyrell
3,Rob o Bones,Jockey,8,
3,Rob o Bones,Bloodshed,32,Ser Bronn
3,Rob o Bones,Bloodshed,16,Obara Sand
3,Rob o Bones,Bloodshed,8,Grey Worm
3,Rob o Bones,Style,32,Lancel Lannister
3,Rob o Bones,Style,16,Margaery Tyrell
3,Rob o Bones,Style,8,
3,Rob o Bones,Support,32,Ser Bronn
3,Rob o Bones,Support,16,Barristan Selmy
3,Rob o Bones,Support,8,Grey Worm
3,Daisy,Wit,32,Ser Bronn
3,Daisy,Wit,16,Melisandre
3,Daisy,Wit,8,
3,Daisy,Jockey,32,Cersei Lannister
3,Daisy,Jockey,16,Stannis Baratheon
3,Daisy,Jockey,8,
3,Daisy,Bloodshed,32,Grey Worm
3,Daisy,Bloodshed,16,Obara Sand
3,Daisy,Bloodshed,8,
