Episode,Player,Award,Points,Character,Cheat,Multiplier
6,Dan,Wit,32,Olenna Tyrell,False,
6,Dan,Wit,16,Daario Naharis,False,
6,Dan,Wit,8,Ser Bronn,False,
6,Dan,Jockey,32,Petyr Baelish,False,
6,Dan,Jockey,16,The High Sparrow,False,
6,Dan,Jockey,8,,False,
6,Dan,Bloodshed,32,Ramsay Bolton,False,
6,Dan,Bloodshed,16,Tyene Sand,False,
6,Dan,Bloodshed,8,Samwell Tarly,False,
6,Dan,Style,32,Tyene Sand,False,
6,Dan,Style,16,Daenerys Targaryen,False,
6,Dan,Style,8,,False,
6,Dan,Support,32,Theon Greyjoy,False,
6,Dan,Support,16,Tyrion Lannister,False,
6,Dan,Support,8,Gilly,False,
6,Hayley,Wit,32,Daario Naharis,False,
6,Hayley,Wit,16,Olenna Tyrell,False,
6,Hayley,Wit,8,Petyr Baelish,False,
6,Hayley,Jockey,32,Lancel Lannister,False,
6,Hayley,Jockey,16,Jorah Mormont,False,
6,Hayley,Jockey,8,Petyr Baelish,False,
6,Hayley,Bloodshed,32,Ramsay Bolton,False,
6,Hayley,Bloodshed,16,Jorah Mormont,False,
6,Hayley,Bloodshed,8,Samwell Tarly,False,
6,Hayley,Style,32,Tyene Sand,False,
6,Hayley,Style,16,Margaery Tyrell,False,
6,Hayley,Style,8,Daario Naharis,False,
6,Hayley,Support,32,Tyrion Lannister,False,
6,Hayley,Support,16,Samwell Tarly,False,
6,Hayley,Support,8,Stannis Baratheon,False,
6,Jannerah Silverscale,Wit,32,The High Sparrow,False,
6,Jannerah Silverscale,Wit,16,Tyrion Lannister,False,
6,Jannerah Silverscale,Wit,8,,False,
6,Jannerah Silverscale,Jockey,32,Tyrion Lannister,False,
6,Jannerah Silverscale,Jockey,16,Olenna Tyrell,False,
6,Jannerah Silverscale,Jockey,8,,False,
6,Jannerah Silverscale,Bloodshed,32,Ramsay Bolton,False,
6,Jannerah Silverscale,Bloodshed,16,Tyene Sand,False,
6,Jannerah Silverscale,Bloodshed,8,,False,
6,Jannerah Silverscale,Style,32,Tyene Sand,False,
6,Jannerah Silverscale,Style,16,Myrcella Baratheon,False,
6,Jannerah Silverscale,Style,8,,False,
6,Jannerah Silverscale,Support,32,The High Sparrow,False,
6,Jannerah Silverscale,Support,16,Samwell Tarly,False,
6,Jannerah Silverscale,Support,8,,False,
6,Ivarius Ironsight,Wit,32,Olenna Tyrell,False,
6,Ivarius Ironsight,Wit,16,The High Sparrow,False,
6,Ivarius Ironsight,Wit,8,,False,
6,Ivarius Ironsight,Jockey,32,Petyr Baelish,False,
6,Ivarius Ironsight,Jockey,16,Jorah Mormont,False,
6,Ivarius Ironsight,Jockey,8,,False,
6,Ivarius Ironsight,Bloodshed,32,Ramsay Bolton,False,
6,Ivarius Ironsight,Bloodshed,16,Tyene Sand,False,
6,Ivarius Ironsight,Bloodshed,8,,False,
6,Ivarius Ironsight,Style,32,Tyene Sand,False,
6,Ivarius Ironsight,Style,16,Myrcella Baratheon,False,
6,Ivarius Ironsight,Style,8,,False,
6,Ivarius Ironsight,Support,32,The High Sparrow,False,
6,Ivarius Ironsight,Support,16,Lancel Lannister,False,
6,Ivarius Ironsight,Support,8,,False,
6,Rob o Bones,Wit,32,Samwell Tarly,False,
6,Rob o Bones,Wit,16,Tyene Sand,False,
6,Rob o Bones,Wit,8,,False,
6,Rob o Bones,Jockey,32,The High Sparrow,False,
6,Rob o Bones,Jockey,16,Olenna Tyrell,False,
6,Rob o Bones,Jockey,8,,False,
6,Rob o Bones,Bloodshed,32,Samwell Tarly,False,
6,Rob o Bones,Bloodshed,16,Jorah Mormont,False,
6,Rob o Bones,Bloodshed,8,,False,
6,Rob o Bones,Style,32,Tyene Sand,False,
6,Rob o Bones,Style,16,Myrcella Baratheon,False,
6,Rob o Bones,Style,8,,False,
6,Rob o Bones,Support,32,Tyrion Lannister,False,
6,Rob o Bones,Support,16,Lancel Lannister,False,
6,Rob o Bones,Support,8,Gilly,False,
6,Daisy,Wit,32,Daario Naharis,False,
6,Daisy,Wit,16,Ser Bronn,False,
6,Daisy,Wit,8,,False,
6,Daisy,Jockey,32,The High Sparrow,False,
6,Daisy,Jockey,16,Jorah Mormont,False,
6,Daisy,Jockey,8,,False,
6,Daisy,Bloodshed,32,Ramsay Bolton,False,
6,Daisy,Bloodshed,16,Tyene Sand,False,
6,Daisy,Bloodshed,8,,False,
6,Daisy,Style,32,Margaery Tyrell,False,
6,Daisy,Style,16,Gilly,False,
6,Daisy,Style,8,,False,
6,Daisy,Support,32,Theon Greyjoy,False,
6,Daisy,Support,16,Olenna Tyrell,False,
6,Daisy,Support,8,,False,
6,Max Ng,Wit,32,The High Sparrow,False,
6,Max Ng,Wit,16,Tyrion Lannister,False,
6,Max Ng,Wit,8,,False,
6,Max Ng,Jockey,32,The High Sparrow,False,
6,Max Ng,Jockey,16,Tyene Sand,False,
6,Max Ng,Jockey,8,,False,
6,Max Ng,Bloodshed,32,Samwell Tarly,False,
6,Max Ng,Bloodshed,16,Jorah Mormont,False,
6,Max Ng,Bloodshed,8,,False,
6,Max Ng,Style,32,Daenerys Targaryen,True,0.25
6,Max Ng,Style,16,Jorah Mormont,False,
6,Max Ng,Style,8,,False,
6,Max Ng,Support,32,Samwell Tarly,False,
6,Max Ng,Support,16,Gilly,False,
6,Max Ng,Support,8,,False,
6,Mart,Wit,32,Olenna Tyrell,False,
6,Mart,Wit,16,Stannis Baratheon,False,
6,Mart,Wit,8,Obara Sand,False,
6,Mart,Jockey,32,Petyr Baelish,False,
6,Mart,Jockey,16,Olenna Tyrell,False,
6,Mart,Jockey,8,Stannis Baratheon,False,
6,Mart,Bloodshed,32,Jorah Mormont,False,
6,Mart,Bloodshed,16,Tyene Sand,False,
6,Mart,Bloodshed,8,Petyr Baelish,False,
6,Mart,Style,32,Daenerys Targaryen,False,
6,Mart,Style,16,Petyr Baelish,False,
6,Mart,Style,8,Tyene Sand,False,
6,Mart,Support,32,Lancel Lannister,False,
6,Mart,Support,16,Tyene Sand,False,
6,Mart,Support,8,Malko,False,
6,Sherin the Sedulous,Wit,32,Malko,False,
6,Sherin the Sedulous,Wit,16,Tyrion Lannister,False,
6,Sherin the Sedulous,Wit,8,Ser Bronn,False,
6,Sherin the Sedulous,Jockey,32,Petyr Baelish,False,
6,Sherin the Sedulous,Jockey,16,Walda Bolton,False,
