id,name,house,prominence,violence,diplomacy
petyrbaelish,Petyr Baelish,arryn,5,4,5
yohnroyce,Yohn Royce,arryn,2,2,4
robinarryn,Robin Arryn,arryn,2,1,1
marei,Marei,arryn,1,2,4
ramsaybolton,Ramsay Bolton,bolton,4,5,1
roosebolton,Roose Bolton,bolton,3,5,2
waldabolton,Walda Bolton,bolton,1,2,1
theongreyjoy,Theon Greyjoy,greyjoy,4,2,3
yaragreyjoy,Yara Greyjoy,greyjoy,3,4,2
balongreyjoy,Balon Greyjoy,greyjoy,3,5,1
eurongreyjoy,Euron Greyjoy,greyjoy,2,3,1
nightsking,The Night's King,independent,5,5,5
melisandre,Melisandre,independent,4,5,5
jaqenhghar,Jaqen H'ghar,independent,4,5,4
aryastark,Arya Stark,independent,4,5,3
threeeyedraven,Three Eyed Raven,independent,3,3,5
waif,The Waif,independent,3,3,2
thoros,Thoros,independent,2,4,4
izembaro,Izembaro,independent,2,1,5
kinvara,Kinvara,independent,1,4,4
cerseilannister,Cersei Lannister,lannister,5,5,5
jaimelannister,Jaime Lannister,lannister,4,3,5
tommenbaratheon,Tommen Baratheon,lannister,4,2,2
bronn,Bronn,lannister,3,5,1
qyburn,Qyburn,lannister,2,5,3
gregorclegane,Gregor Clegane,lannister,2,5,1
kevanlannister,Kevan Lannister,lannister,2,4,4
pycelle,Pycelle,lannister,2,2,3
shae,Shae,lannister,2,1,5
myrcellabaratheon,Myrcella Baratheon,lannister,2,1,3
ellariasand,Ellaria Sand,martell,4,4,4
obarasand,Obara Sand,martell,3,4,2
doranmartell,Doran Martell,martell,3,2,5
nymeriasand,Nymeria Sand,martell,3,2,4
areohotah,Areo Hotah,martell,2,4,3
tyenesand,Tyene Sand,martell,2,3,3
trystanemartell,Trystane Martell,martell,2,2,3
tyrionlannister,Tyrion Lannister,meereen,5,5,5
varys,Varys,meereen,5,5,5
greyworm,Grey Worm,meereen,4,5,1
missandei,Missandei,meereen,3,1,4
highsparrow,The High Sparrow,minor,4,4,5
davosseaworth,Davos Seaworth,minor,4,3,5
walderfrey,Walder Frey,minor,2,5,1
yezzanzoqaggaz,Yezzan zo Qaggaz,minor,2,4,3
lancel,Lancel,minor,2,4,2
unella,Unella,minor,2,4,1
lotharfrey,Lothar Frey,minor,1,3,1
razdalmoeraz,Razdal mo Eraz,minor,1,2,5
walderrivers,Walder Rivers,minor,1,2,1
jonsnow,Jon Snow,night's watch-free folk,5,5,5
tormundgiantsbane,Tormund Giantsbane,night's watch-free folk,4,5,3
alliserthorne,Alliser Thorne,night's watch-free folk,4,4,1
eddisontollett,Eddison Tollett,night's watch-free folk,3,4,3
olly,Olly,night's watch-free folk,3,3,1
bowenmarsh,Bowen Marsh,night's watch-free folk,2,3,2
othellyarwyck,Othell Yarwyck,night's watch-free folk,2,3,2
wunwun,Wun Wun,night's watch-free folk,1,5,1
sansastark,Sansa Stark,stark,5,2,4
brienneoftarth,Brienne of Tarth,stark,4,5,4
branstark,Bran Stark,stark,4,2,5
hodor,Hodor,stark,3,4,1
podrickpayne,Podrick Payne,stark,3,3,2
meerareed,Meera Reed,stark,2,4,2
osha,Osha,stark,2,4,1
bryndentully,Brynden Tully,stark,2,3,4
rickonstark,Rickon Stark,stark,2,2,2
smalljonumber,Smalljon Umber,stark,1,2,3
haraldkarstark,Harald Karstark,stark,1,2,2
edmuretully,Edmure Tully,stark,1,1,1
daenerystargaryen,Daenerys Targaryen,targaryen-dothraki,5,5,5
daarionaharis,Daario Naharis,targaryen-dothraki,4,5,3
jorahmormont,Jorah Mormont,targaryen-dothraki,4,4,4
moro,Moro,targaryen-dothraki,3,5,2
rhalko,Rhalko,targaryen-dothraki,2,4,3
forzo,Forzo,targaryen-dothraki,2,4,3
ahko,Ahko,targaryen-dothraki,2,4,2
qhono,Qhono,targaryen-dothraki,1,4,2
margaerytyrell,Margaery Tyrell,tyrell,4,3,5
samwelltarly,Samwell Tarly,tyrell,4,3,2
olennatyrell,Olenna Tyrell,tyrell,4,1,5
lorastyrell,Loras Tyrell,tyrell,3,3,4
gilly,Gilly,tyrell,3,1,2
randylltarly,Randyll Tarly,tyrell,2,4,2
macetyrell,Mace Tyrell,tyrell,2,1,1
dickontarly,Dickon Tarly,tyrell,1,2,2
melessatarly,Melessa Tarly,tyrell,1,1,2
tallatarly,Talla Tarly,tyrell,1,1,1
