Timestamp,Player,Who sits on the Iron Throne at the end of the season?
7/20/2017 0:15:46,δράκ0tʃɪk,Daenerys Targaryen
7/20/2017 0:20:00,Ser Perfluous,Cercei Lannister
7/20/2017 0:32:24,Ser Cookden,Petyr Baelish
7/20/2017 1:11:48,Ser Certainly Cersie,Daenerys Targaryen
7/20/2017 2:06:09,No Name,Daenerys Targaryen
7/20/2017 2:08:05,Kirsty of House Wooden Spoon,Daenerys Targaryen
7/20/2017 2:29:44,Yanneqi Silverscale,Euron Greyjoy
7/20/2017 11:00:52,Tailwag Furdragon,Sansa Stark
7/20/2017 13:30:39,House Wailixe,Daenerys Targaryen
7/21/2017 19:27:43,Overqueen Sherin of the Glades Green,Daenerys Targaryen
7/22/2017 14:45:25,The Ochre Otter,Cercei Lannister
7/23/2017 13:51:04,al,Gendry
7/23/2017 15:57:02,Nevel Knife,Daenerys Targaryen
7/23/2017 16:20:02,ZB,Daenerys Targaryen
7/23/2017 21:18:50,Haeleypuff,Daenerys Targaryen
