Timestamp,Player,How far south will the Whitewalkers march?
8/8/2017 4:34:01,Darth KaasThorR,WinterFell
8/8/2017 7:16:39,Ser Certainly Cersie,WinterFell
8/8/2017 17:45:09,Yanneqi Silverscale,WinterFell
8/8/2017 22:28:50,δράκ0tʃɪk,Eastwatch
8/8/2017 23:06:15,Ser Perfluous,South of Moat Cailin
8/9/2017 20:24:56,No Name,North of the Wall
8/10/2017 14:01:24,Ivarius Ironsight,Eastwatch
8/11/2017 10:14:04,Nevel Knife,WinterFell
8/12/2017 15:39:41,Kirsty of House Wooden Spoon,Eastwatch
8/13/2017 23:51:19,Ser Cookden,WinterFell
8/14/2017 10:49:00,Margarine Tyrell,Last Hearth
8/14/2017 15:08:52,The Ochre Otter,Eastwatch
