Character,Points,Rank,Episode
Tyrion Lannister,328.0,1.0,5
Petyr Baelish,280.0,2.0,5
Cersei Lannister,240.0,3.0,5
Olenna Tyrell,240.0,3.0,5
Sansa Stark,240.0,3.0,5
Ser Bronn,192.0,6.0,5
Malko,152.0,7.0,5
Ramsay Bolton,144.0,8.0,5
Arya Stark,136.0,9.0,5
The High Sparrow,120.0,10.0,5
Jaime Lannister,96.0,11.0,5
Jorah Mormont,88.0,12.0,5
Jaqen Hghar,80.0,13.0,5
Theon Greyjoy,80.0,13.0,5
Myrcella Baratheon,56.0,15.0,5
Obara Sand,56.0,15.0,5
Areo Hotah,40.0,17.0,5
Nymeria Sand,32.0,18.0,5
Doran Martell,32.0,18.0,5
Ellaria Sand,32.0,18.0,5
Margaery Tyrell,32.0,18.0,5
Loras Tyrell,32.0,18.0,5
Tyene Sand,32.0,18.0,5
Myranda,24.0,24.0,5
Tommen Baratheon,16.0,25.0,5
Lancel Lannister,8.0,26.0,5
Mace Tyrell,0.0,27.0,5
Eddison Tollett,0.0,27.0,5
Ternesio Terys,0.0,27.0,5
Bowen Marsh,0.0,27.0,5
Yohn Royce,0.0,27.0,5
Lhara,0.0,27.0,5
Loboda,0.0,27.0,5
White Walkers Master,0.0,27.0,5
Stannis Baratheon,0.0,27.0,5
Meryn Trant,0.0,27.0,5
Denys Mallister,0.0,27.0,5
Shireen Baratheon,0.0,27.0,5
Janos Slynt,0.0,27.0,5
Barristan Selmy,0.0,27.0,5
Podrick Payne,0.0,27.0,5
Keyr,0.0,27.0,5
Selyse Baratheon,0.0,27.0,5
Roose Bolton,0.0,27.0,5
Hizdahr zo Loraq,0.0,27.0,5
Septa Unella,0.0,27.0,5
Tormund Giantsbane,0.0,27.0,5
Walda Bolton,0.0,27.0,5
Pit Announcer,0.0,27.0,5
Brienne of Tarth,0.0,27.0,5
Grey Worm,0.0,27.0,5
Davos Seaworth,0.0,27.0,5
Mance Rayder,0.0,27.0,5
Daario Naharis,0.0,27.0,5
Lord of Bones,0.0,27.0,5
Daenerys Targaryen,0.0,27.0,5
Pycelle,0.0,27.0,5
Melisandre,0.0,27.0,5
Kevan Lannister,0.0,27.0,5
Jon Snow,0.0,27.0,5
Gregor Clegane,0.0,27.0,5
Tycho Nestoris,0.0,27.0,5
Samwell Tarly,0.0,27.0,5
Robin Arryn,0.0,27.0,5
Trystane Martell,0.0,27.0,5
Alliser Thorne,0.0,27.0,5
Varys,0.0,27.0,5
Missandei,0.0,27.0,5
Yezzan,0.0,27.0,5
Olly,0.0,27.0,5
Gilly,0.0,27.0,5
Maggy the Frog,0.0,27.0,5
Qyburn,0.0,27.0,5
