Episode,Player,Award,Points,Character,Cheat,Multiplier
8,Dan,Wit,32,Tyrion Lannister,False,
8,Dan,Wit,16,Ser Bronn,False,
8,Dan,Wit,8,Tyene Sand,False,
8,Dan,Jockey,32,Doran Martell,False,
8,Dan,Jockey,16,Ramsay Bolton,False,
8,Dan,Jockey,8,,False,
8,Dan,Bloodshed,32,Shireen Baratheon,False,
8,Dan,Bloodshed,16,Meryn Trant,False,
8,Dan,Bloodshed,8,Stannis Baratheon,False,
8,Dan,Style,32,Mace Tyrell,False,
8,Dan,Style,16,Arya Stark,False,
8,Dan,Style,8,,False,
8,Dan,Support,32,Shireen Baratheon,False,
8,Dan,Support,16,Alliser Thorne,False,
8,Dan,Support,8,Daario Naharis,False,
8,Hayley,Wit,32,Doran Martell,False,
8,Hayley,Wit,16,Daario Naharis,False,
8,Hayley,Wit,8,,False,
8,Hayley,Jockey,32,Doran Martell,False,
8,Hayley,Jockey,16,Stannis Baratheon,False,
8,Hayley,Jockey,8,,False,
8,Hayley,Bloodshed,32,Jorah Mormont,False,
8,Hayley,Bloodshed,16,Melisandre,False,
8,Hayley,Bloodshed,8,Shireen Baratheon,False,
8,Hayley,Style,32,Arya Stark,False,
8,Hayley,Style,16,Missandei,False,
8,Hayley,Style,8,,False,
8,Hayley,Support,32,Daario Naharis,False,
8,Hayley,Support,16,Selyse Baratheon,False,
8,Hayley,Support,8,,False,
8,Jannerah Silverscale,Wit,32,Doran Martell,False,
8,Jannerah Silverscale,Wit,16,Daario Naharis,False,
8,Jannerah Silverscale,Wit,8,,False,
8,Jannerah Silverscale,Jockey,32,Doran Martell,False,
8,Jannerah Silverscale,Jockey,16,Ramsay Bolton,False,
8,Jannerah Silverscale,Jockey,8,,False,
8,Jannerah Silverscale,Bloodshed,32,Shireen Baratheon,False,
8,Jannerah Silverscale,Bloodshed,16,Ser Bronn,False,
8,Jannerah Silverscale,Bloodshed,8,,False,
8,Jannerah Silverscale,Style,32,Tyrion Lannister,False,
8,Jannerah Silverscale,Style,16,Trystane Martell,False,
8,Jannerah Silverscale,Style,8,,False,
8,Jannerah Silverscale,Support,32,Shireen Baratheon,False,
8,Jannerah Silverscale,Support,16,Davos Seaworth,False,
8,Jannerah Silverscale,Support,8,,False,
8,Ivarius Ironsight,Wit,32,Doran Martell,False,
8,Ivarius Ironsight,Wit,16,Tyrion Lannister,False,
8,Ivarius Ironsight,Wit,8,,False,
8,Ivarius Ironsight,Jockey,32,Melisandre,False,
8,Ivarius Ironsight,Jockey,16,Ramsay Bolton,False,
8,Ivarius Ironsight,Jockey,8,,False,
8,Ivarius Ironsight,Bloodshed,32,Shireen Baratheon,False,
8,Ivarius Ironsight,Bloodshed,16,Jorah Mormont,False,
8,Ivarius Ironsight,Bloodshed,8,Ramsay Bolton,False,
8,Ivarius Ironsight,Style,32,Missandei,False,
8,Ivarius Ironsight,Style,16,Ellaria Sand,False,
8,Ivarius Ironsight,Style,8,,False,
8,Ivarius Ironsight,Support,32,Jorah Mormont,False,
8,Ivarius Ironsight,Support,16,Davos Seaworth,False,
8,Ivarius Ironsight,Support,8,,False,
8,Rob o Bones,Wit,32,Doran Martell,False,
8,Rob o Bones,Wit,16,Tycho Nestoris,False,
8,Rob o Bones,Wit,8,,False,
8,Rob o Bones,Jockey,32,Doran Martell,False,
8,Rob o Bones,Jockey,16,Jorah Mormont,False,
8,Rob o Bones,Jockey,8,,False,
8,Rob o Bones,Bloodshed,32,Melisandre,False,
8,Rob o Bones,Bloodshed,16,Shireen Baratheon,False,
8,Rob o Bones,Bloodshed,8,Stannis Baratheon,False,
8,Rob o Bones,Style,32,Mace Tyrell,False,
8,Rob o Bones,Style,16,Arya Stark,False,
8,Rob o Bones,Style,8,,False,
8,Rob o Bones,Support,32,Alliser Thorne,False,
8,Rob o Bones,Support,16,Shireen Baratheon,False,
8,Rob o Bones,Support,8,Jorah Mormont,False,
8,Daisy,Wit,32,Hizdahr zo Loraq,False,
8,Daisy,Wit,16,Shireen Baratheon,False,
8,Daisy,Wit,8,,False,
8,Daisy,Jockey,32,Doran Martell,False,
8,Daisy,Jockey,16,Arya Stark,False,
8,Daisy,Jockey,8,,False,
8,Daisy,Bloodshed,32,Melisandre,False,
8,Daisy,Bloodshed,16,Jorah Mormont,False,
8,Daisy,Bloodshed,8,,False,
8,Daisy,Style,32,Daenerys Targaryen,False,
8,Daisy,Style,16,Pit Announcer,False,
8,Daisy,Style,8,,False,
8,Daisy,Support,32,Davos Seaworth,False,
8,Daisy,Support,16,Areo Hotah,False,
8,Daisy,Support,8,,False,
8,Max Ng,Wit,32,Tyrion Lannister,False,
8,Max Ng,Wit,16,Daenerys Targaryen,True,0.25
8,Max Ng,Wit,8,,False,
8,Max Ng,Jockey,32,Jorah Mormont,False,
8,Max Ng,Jockey,16,Arya Stark,False,
